order,contents,kind,manuscript
4.1.2.5.137,נזק,word,K
4.1.2.6,ab,misnhah,K
4.1.2.6.1,אדם,word,K
4.1.2.6.2,מועד,word,K
4.1.2.6.3,לעולם,word,K
4.1.2.6.4,בין,word,K
4.1.2.6.5,שוגג,word,K
4.1.2.6.6,בין,word,K
4.1.2.6.7,מזיד,word,K
4.1.2.6.8,בין,word,K
4.1.2.6.9,ער,word,K
4.1.2.6.10,בין,word,K
4.1.2.6.11,ישן,word,K
4.1.2.6.12,סמא,word,K
4.1.2.6.13,את,word,K
4.1.2.6.14,עין,word,K
4.1.2.6.15,חברו,word,K
4.1.2.6.16,ושבר,word,K
4.1.2.6.17,את,word,K
4.1.2.6.18,הכלים,word,K
4.1.2.6.19,משלם,word,K
4.1.2.6.20,נזק,word,K
4.1.2.6.21,שלם,word,K
4.1.2.T,trailer,paratext,K
4.1.3,div3,div,K
4.1.3.H,head,paratext,K
4.1.3.H.1,פרק,paratext,K
4.1.3.H.2,ג,paratext,K
4.1.3.1,ab,misnhah,K
4.1.3.1.1,המניח,word,K
4.1.3.1.2,את,word,K
4.1.3.1.3,הכד,word,K
4.1.3.1.4,ברש,word,K
4.1.3.1.5,ות,word,K
4.1.3.1.6,הרבים,word,K
4.1.3.1.7,ובא,word,K
4.1.3.1.8,אחר,word,K
4.1.3.1.9,ונתקל,word,K
4.1.3.1.10,בה,word,K
4.1.3.1.11,ושברה,word,K
4.1.3.1.12,פטור,word,K
4.1.3.1.13,ואם,word,K
4.1.3.1.14,הזק,word,K
4.1.3.1.15,בה,word,K
4.1.3.1.16,בעל,word,K
4.1.3.1.17,החבית,word,K
4.1.3.1.18,חייב,word,K
4.1.3.1.19,בנזקו,word,K
4.1.3.1.20,נשברה,word,K
4.1.3.1.21,כדו,word,K
4.1.3.1.22,ברשות,word,K
4.1.3.1.23,הרבים,word,K
4.1.3.1.24,והוחלק,word,K
4.1.3.1.25,אחד,word,K
4.1.3.1.26,במים,word,K
4.1.3.1.27,או,word,K
4.1.3.1.28,שלקה,word,K
4.1.3.1.29,בחרסיה,word,K
4.1.3.1.30,חייב,word,K
4.1.3.1.31,רבי,word,K
4.1.3.1.32,יהודה,word,K
4.1.3.1.33,אומר,word,K
4.1.3.1.34,במתכוין,word,K
4.1.3.1.35,חייב,word,K
4.1.3.1.36,באינו,word,K
4.1.3.1.37,מתכוין,word,K
4.1.3.1.38,פטור,word,K
4.1.3.2,ab,misnhah,K
4.1.3.2.1,השופך,word,K
4.1.3.2.2,מים,word,K
4.1.3.2.3,ברשות,word,K
4.1.3.2.4,הרבים,word,K
4.1.3.2.5,והוזק,word,K
4.1.3.2.6,בהן,word,K
4.1.3.2.7,אחר,word,K
4.1.3.2.8,חייב,word,K
4.1.3.2.9,בנזקו,word,K
4.1.3.2.10,המצניע,word,K
4.1.3.2.11,את,word,K
4.1.3.2.12,הקוץ,word,K
4.1.3.2.13,ואת,word,K
4.1.3.2.14,הזכוכית,word,K
4.1.3.2.15,והגודר,word,K
4.1.3.2.16,את,word,K
4.1.3.2.17,גדרו,word,K
4.1.3.2.18,בקוצים,word,K
4.1.3.2.19,וגדר,word,K
4.1.3.2.20,שנפל,word,K
4.1.3.2.21,לרשות,word,K
4.1.3.2.22,הרבים,word,K
4.1.3.2.23,והוזקו,word,K
4.1.3.2.24,בהן,word,K
4.1.3.2.25,אחרים,word,K
4.1.3.2.26,חייב,word,K
4.1.3.2.27,בנזקן,word,K
4.1.3.3,ab,misnhah,K
4.1.3.3.1,המוציא,word,K
4.1.3.3.2,את,word,K
4.1.3.3.3,תבנו,word,K
4.1.3.3.4,ואת,word,K
4.1.3.3.5,קשו,word,K
4.1.3.3.6,לרשות,word,K
4.1.3.3.7,הרבים,word,K
4.1.3.3.8,לזבלים,word,K
4.1.3.3.9,והוזק,word,K
4.1.3.3.10,בהן,word,K
4.1.3.3.11,אחר,word,K
4.1.3.3.12,חייב,word,K
4.1.3.3.13,בנזקו,word,K
4.1.3.3.14,וכל,word,K
4.1.3.3.15,הקודם,word,K
4.1.3.3.16,בהן,word,K
4.1.3.3.17,זכה,word,K
4.1.3.3.18,רבן,word,K
4.1.3.3.19,שמעון,word,K
4.1.3.3.20,בן,word,K
4.1.3.3.21,גמליאל,word,K
4.1.3.3.22,אומר,word,K
4.1.3.3.23,כל,word,K
4.1.3.3.24,המקלקלין,word,K
4.1.3.3.25,ברשות,word,K
4.1.3.3.26,הרבים,word,K
4.1.3.3.27,והזיקו,word,K
4.1.3.3.28,חייבין,word,K
4.1.3.3.29,לשלם,word,K
4.1.3.3.30,וכל,word,K
4.1.3.3.31,הקודם,word,K
4.1.3.3.32,בהן,word,K
4.1.3.3.33,זכה,word,K
4.1.3.3.34,ההופך,word,K
4.1.3.3.35,את,word,K
4.1.3.3.36,הגלל,word,K
4.1.3.3.37,ברשות,word,K
4.1.3.3.38,הרבים,word,K
4.1.3.3.39,והוזק,word,K
4.1.3.3.40,בהן,word,K
4.1.3.3.41,אחר,word,K
4.1.3.3.42,חייב,word,K
4.1.3.3.43,בנזקו,word,K
